# FPS: 240.0
Frame,Time(s),DisplacementX(px),DisplacementZ(px)
0,0.0,-0.2843933,0.6026001
1,0.004166667,0.07199097,-1.1210785
2,0.008333334,0.0440979,-2.2891083
3,0.0125,-0.061309814,-2.8840485
4,0.016666668,0.079956055,-2.8487701
5,0.020833334,0.29953003,-2.496872
6,0.025,-0.22802734,-1.2932587
7,0.029166667,-0.22537231,0.4063568
8,0.033333335,-0.222229,2.3549805
9,0.0375,-0.073272705,3.5738525
10,0.041666668,-0.20077515,2.322998
11,0.045833334,-0.20077515,2.322998
12,0.05,-0.150177,0.3958435
13,0.054166667,0.46246338,-2.2931366
14,0.058333334,0.24880981,-2.2760162
15,0.0625,0.25613403,-2.6940613
16,0.06666667,0.15649414,-2.8151703
17,0.07083333,0.25543213,-2.4010315
18,0.075,-0.63253784,0.46731567
19,0.079166666,-0.6159973,0.4407959
20,0.083333336,-0.58410645,2.3910065
21,0.0875,0.071624756,3.6449585
22,0.09166667,0.25515747,3.6272125
23,0.09583333,-0.2554016,2.2641144
24,0.1,-0.16171265,0.4760437
25,0.104166664,-0.024047852,-1.2177582
26,0.108333334,0.12918091,-2.2724152
27,0.1125,0.14984131,-2.7228088
28,0.11666667,0.11618042,-2.7255554
29,0.12083333,0.45394897,-2.3485718
30,0.125,-0.52578735,0.49765015
31,0.12916666,-0.54000854,0.5475311
32,0.13333334,-0.72317505,2.4646912
33,0.1375,-0.032226562,3.6141815
34,0.14166667,-0.12161255,3.5386353
35,0.14583333,-0.23846436,2.315155
36,0.15,-0.28842163,0.3854065
37,0.15416667,0.046813965,-1.3510132
38,0.15833333,0.06820679,-2.3599396
39,0.1625,0.12496948,-2.6727753
40,0.16666667,0.06762695,-2.649475
41,0.17083333,-0.01638794,-2.3244324
42,0.175,-0.3518982,-1.2181091
43,0.17916666,-0.53222656,2.5293427
44,0.18333334,-0.53323364,2.4861145
45,0.1875,0.23007202,3.6111755
46,0.19166666,0.16082764,3.447998
47,0.19583334,0.13842773,2.124649
48,0.2,-0.019866943,0.22750854
49,0.20416667,-0.031799316,-1.3546906
50,0.20833333,0.21243286,-2.3780975
51,0.2125,0.19818115,-2.6616058
52,0.21666667,0.23648071,-2.6980896
53,0.22083333,0.34698486,-2.3631592
54,0.225,-0.2571106,-1.1767426
55,0.22916667,-0.37265015,0.6090393
56,0.23333333,-0.5022278,2.5621796
57,0.2375,0.06561279,3.4203339
58,0.24166666,0.1326294,3.4259186
59,0.24583334,-0.39840698,2.0748138
60,0.25,-0.2163086,-1.3617096
61,0.25416666,-0.17944336,-1.386322
62,0.25833333,0.120666504,-2.4070587
63,0.2625,0.0095825195,-2.7767181
64,0.26666668,-0.1138916,-2.736374
65,0.27083334,0.22106934,-2.287506
66,0.275,-0.31417847,-1.1203461
67,0.27916667,-0.4725647,0.7130585
68,0.28333333,-0.39260864,2.6368408
69,0.2875,0.042999268,3.609848
70,0.29166666,-0.2076416,3.304428
71,0.29583332,-0.05999756,1.9535522
72,0.3,-0.0368042,-1.3677979
73,0.30416667,0.025787354,-1.3998413
74,0.30833334,0.29162598,-2.7646484
75,0.3125,0.3345337,-2.7421265
76,0.31666666,0.31674194,-2.713211
77,0.32083333,0.15106201,-2.2795715
78,0.325,0.011199951,-1.0909882
79,0.32916668,-0.08343506,0.7972412
80,0.33333334,-0.055419922,2.7408142
81,0.3375,0.06567383,3.6453857
82,0.34166667,-0.03970337,3.344345
83,0.34583333,-0.01953125,1.8733673
84,0.35,0.048583984,0.088653564
85,0.35416666,0.03918457,-1.4079742
86,0.35833332,0.46646118,-2.471527
87,0.3625,0.3625183,-2.5788422
88,0.36666667,0.35824585,-2.628769
89,0.37083334,0.2190857,-2.1777802
90,0.375,-0.19342041,0.885025
91,0.37916666,-0.100860596,0.8581238
92,0.38333333,-0.3183899,2.7427368
93,0.3875,0.33590698,3.664322
94,0.39166668,0.11584473,3.259369
95,0.39583334,0.2000122,1.7413483
96,0.4,0.21118164,-0.14212036
97,0.40416667,0.27615356,-1.6708527
98,0.40833333,0.36236572,-2.5373688
99,0.4125,0.36514282,-2.7088165
100,0.41666666,0.26843262,-2.6270905
101,0.42083332,0.14279175,-2.193985
102,0.425,-0.34576416,0.99760437
103,0.42916667,-0.33795166,0.99920654
104,0.43333334,0.039978027,3.6851044
105,0.4375,0.088897705,3.6938171
106,0.44166666,0.1585083,1.6059723
107,0.44583333,-0.033691406,1.5723877
108,0.45,0.19320679,-0.2033844
109,0.45416668,0.30368042,-1.6941986
110,0.45833334,0.32907104,-2.5175323
111,0.4625,0.20892334,-2.729782
112,0.46666667,0.14190674,-2.6611938
113,0.47083333,0.22634888,-2.184494
114,0.475,-0.1979065,-0.8045502
115,0.47916666,0.010040283,1.1319275
116,0.48333332,-0.32669067,2.9157257
117,0.4875,-0.093444824,3.6875153
118,0.49166667,-0.011566162,3.1949005
119,0.49583334,0.09060669,1.5254364
120,0.5,0.17758179,-1.7220459
121,0.50416666,0.22271729,-1.7167969
122,0.5083333,0.14071655,-2.6828003
123,0.5125,-0.05847168,-2.8334045
124,0.51666665,0.1973877,-2.6147308
125,0.5208333,-0.008605957,-2.1396637
126,0.525,-0.3602295,-0.80789185
127,0.52916664,-0.25375366,1.1915131
128,0.53333336,-0.41741943,3.0929108
129,0.5375,-0.09429932,3.77565
130,0.5416667,-0.07891846,3.2695312
131,0.54583335,0.13824463,1.6678162
132,0.55,0.19769287,-0.18034363
133,0.5541667,0.18972778,-1.6898346
134,0.55833334,0.01776123,-2.8337708
135,0.5625,-0.013397217,-2.8361511
136,0.56666666,0.06918335,-2.0778046
137,0.5708333,0.026794434,-2.087204
138,0.575,-0.473938,-0.7558594
139,0.57916665,-0.34802246,1.2044678
140,0.5833333,-0.34716797,2.993225
141,0.5875,-0.03591919,3.597351
142,0.59166664,-0.10797119,3.052536
143,0.59583336,0.3302002,1.5373535
144,0.6,0.1972351,-0.3010254
145,0.6041667,0.21398926,-1.7170258
146,0.60833335,0.35549927,-2.511032
147,0.6125,0.30200195,-2.6067657
148,0.6166667,0.41992188,-2.5331879
149,0.62083334,0.087249756,-2.0449219
150,0.625,0.07141113,-0.5933533
151,0.62916666,-0.1111145,3.121643
152,0.6333333,-0.08743286,3.1132812
153,0.6375,-0.11590576,3.0565643
154,0.64166665,-0.18157959,3.0632477
155,0.6458333,0.06347656,1.5566559
156,0.65,0.26885986,-0.34300232
157,0.65416664,0.169281,-1.7030945
158,0.65833336,0.16864014,-2.5518494
159,0.6625,0.015167236,-2.700821
160,0.6666667,0.21942139,-2.5582428
161,0.67083335,-0.24291992,-2.013031
162,0.675,0.008483887,-0.534256
163,0.6791667,0.12319946,1.4386292
164,0.68333334,-0.34786987,3.06044
165,0.6875,-0.13412476,2.9862976
166,0.69166666,-0.084869385,3.0488434
167,0.6958333,0.3600464,1.4969635
168,0.7,0.34936523,-1.8058319
169,0.70416665,0.122558594,-1.7764893
170,0.7083333,0.18527222,-2.57341
171,0.7125,0.0524292,-2.6959686
172,0.71666664,0.15109253,-2.552063
173,0.72083336,-0.010864258,-1.8535614
174,0.725,-0.1026001,-0.511322
175,0.7291667,-0.20178223,1.433197
176,0.73333335,-0.38446045,3.1582947
177,0.7375,0.09710693,3.6435852
178,0.7416667,-0.11355591,3.05896
179,0.74583334,0.07897949,1.4136963
180,0.75,0.15057373,-0.47825623
181,0.75416666,0.296875,-2.5564575
182,0.7583333,0.40429688,-2.5879822
183,0.7625,0.17700195,-2.6773376
184,0.76666665,0.21194458,-2.506485
185,0.7708333,0.06774902,-1.9402771
186,0.775,0.18267822,-0.3907013
187,0.77916664,-0.33016968,3.163803
188,0.78333336,-0.47409058,3.1619415
189,0.7875,-0.06350708,3.65625
190,0.7916667,-0.12063599,2.871933
191,0.79583335,-0.01449585,1.3023834
192,0.8,0.11508179,-0.44015503
193,0.8041667,0.076812744,-1.9347076
194,0.80833334,0.15725708,-2.7172394
195,0.8125,0.28671265,-2.7676086
196,0.81666666,-0.042053223,-1.8085785
197,0.8208333,-0.09082031,-1.8139954
198,0.825,-0.24520874,1.5716095
199,0.82916665,-0.20776367,1.5601807
200,0.8333333,-0.33892822,3.2116852
201,0.8375,-0.038330078,3.6161652
202,0.84166664,-0.35107422,2.7912292
203,0.84583336,-0.16543579,1.1365967
204,0.85,0.11074829,-0.5259857
205,0.8541667,-0.23379517,-1.8467712
206,0.85833335,0.23840332,-2.6004333
207,0.8625,0.15283203,-2.685852
208,0.8666667,0.1736145,-2.4826813
209,0.87083334,-0.0121154785,-1.8218842
210,0.875,-0.085754395,-0.36932373
211,0.87916666,-0.23953247,1.6118011
212,0.8833333,-0.1552124,3.6694336
213,0.8875,-0.21273804,3.6512299
214,0.89166665,-0.2524109,2.824463
215,0.8958333,-0.038726807,1.1921234
216,0.9,0.19467163,-0.5254669
217,0.90416664,0.14944458,-2.005783
218,0.90833336,-0.11532593,-2.7772827
219,0.9125,0.1453247,-2.691864
220,0.9166667,0.08554077,-2.422577
221,0.92083335,0.091308594,-1.8407898
222,0.925,-0.12054443,-0.3522339
223,0.9291667,-0.36871338,1.602066
224,0.93333334,-0.31744385,3.24086
225,0.9375,-0.5411072,2.7474518
226,0.94166666,-0.5353699,2.7546844
227,0.9458333,-0.27529907,1.0994415
228,0.95,-0.105895996,-0.65278625
229,0.95416665,-0.0051879883,-1.9640503
230,0.9583333,-0.047210693,-2.6507416
231,0.9625,-0.082092285,-2.8203735
232,0.96666664,-0.072387695,-2.4180603
233,0.97083336,-0.28326416,-1.6737518
234,0.975,-0.16644287,-0.1456604
235,0.9791667,-0.021270752,1.749939
236,0.98333335,-0.43997192,3.2200928
237,0.9875,0.017700195,3.5733948
238,0.9916667,-0.30648804,0.9301605
239,0.99583334,-0.22286987,0.9181061
240,1.0,0.12231445,-2.051056
241,1.0041667,0.13226318,-2.0699158
242,1.0083333,0.11541748,-2.6696625
243,1.0125,-0.0854187,-2.459671
244,1.0166667,-0.039978027,-2.44133
245,1.0208334,0.04437256,-1.7265778
246,1.025,-0.26327515,-0.22007751
247,1.0291667,-0.13146973,1.7788391
248,1.0333333,-0.35195923,3.3151245
249,1.0375,-0.07833862,3.6157074
250,1.0416666,-0.43267822,2.696579
251,1.0458333,-0.35772705,0.96125793
252,1.05,-0.16122437,-0.7910614
253,1.0541667,0.18450928,-2.098236
254,1.0583333,0.17190552,-2.6441498
255,1.0625,0.14834595,-2.4451904
256,1.0666667,0.14663696,-2.4496918
257,1.0708333,0.11404419,-0.11148071
258,1.075,-0.14657593,-0.13278198
259,1.0791667,-0.064575195,1.7489624
260,1.0833334,-0.2142334,3.3872223
261,1.0875,-0.2796631,3.624649
262,1.0916667,-0.46191406,2.5895233
263,1.0958333,-0.30899048,0.80493164
264,1.1,0.14312744,-2.079605
265,1.1041666,0.14871216,-2.0827026
266,1.1083333,0.08694458,-2.7281494
267,1.1125,0.02758789,-2.751068
268,1.1166667,0.15420532,-2.4762726
269,1.1208333,0.033355713,-1.5935211
270,1.125,-0.1144104,0.027130127
271,1.1291667,-0.23544312,1.9345093
272,1.1333333,-0.456604,3.3216095
273,1.1375,-0.29937744,2.5934906
274,1.1416667,-0.35614014,2.6072388
275,1.1458334,-0.426239,0.82388306
276,1.15,-0.12548828,-0.8418884
277,1.1541667,0.13552856,-2.0427704
278,1.1583333,0.2539673,-2.6068878
279,1.1625,0.05444336,-2.344757
280,1.1666666,0.05633545,-2.3561249
281,1.1708333,-0.1802063,-1.552063
282,1.175,-0.19961548,0.027770996
283,1.1791667,-0.17907715,1.9667053
284,1.1833333,9.460449E-4,3.3878174
285,1.1875,0.16320801,3.5796509
286,1.1916667,-0.234375,2.3975677
287,1.1958333,0.07434082,-0.8499298
288,1.2,0.05456543,-0.8766022
289,1.2041667,0.32574463,-2.0848236
290,1.2083334,0.20986938,-2.7059784
291,1.2125,0.12954712,-2.782837
292,1.2166667,0.35775757,-2.369751
293,1.2208333,0.039489746,-1.4043274
294,1.225,-0.011413574,-1.4267578
295,1.2291666,-0.31381226,2.0545044
296,1.2333333,-0.19436646,3.4320068
297,1.2375,-0.11999512,3.5663452
298,1.2416667,-0.21911621,2.5094757
299,1.2458333,-0.32781982,0.7415161
300,1.25,0.16519165,-0.84550476
301,1.2541667,0.128479,-2.162918
302,1.2583333,0.4421997,-2.6504517
303,1.2625,0.35134888,-2.3253632
304,1.2666667,0.3128662,-2.331253
305,1.2708334,-0.22692871,-1.3682709
306,1.275,-0.028137207,0.21083069
307,1.2791667,0.10784912,2.1419373
308,1.2833333,0.28289795,3.5931702
309,1.2875,0.17721558,3.6287384
310,1.2916666,-0.17279053,2.3835754
311,1.2958333,-0.14385986,0.62882996
312,1.3,0.21612549,-0.99806213
313,1.3041667,0.3880005,-2.1419983
314,1.3083333,0.20565796,-2.6892242
315,1.3125,0.18331909,-2.686386
316,1.3166667,0.59017944,-2.3116913
317,1.3208333,0.1951294,0.22492981
318,1.325,0.053344727,0.20089722
319,1.3291667,-0.1308899,2.2291718
320,1.3333334,0.29699707,3.629486
321,1.3375,0.28637695,3.6318512
322,1.3416667,-0.29452515,2.4900055
323,1.3458333,-0.0126953125,0.67022705
324,1.35,0.27542114,-1.0004578
325,1.3541666,0.20840454,-2.1879578
326,1.3583333,0.23291016,-2.756012
327,1.3625,0.09500122,-2.8368835
328,1.3666667,0.37838745,-2.299286
329,1.3708333,-0.24087524,-1.2723083
330,1.375,-0.29071045,0.41903687
331,1.3791667,-0.1770935,2.3205872
332,1.3833333,0.12704468,3.6158447
333,1.3875,0.053985596,3.5983734
334,1.3916667,-0.0625,0.52911377
335,1.3958334,0.035736084,0.5265198
336,1.4,0.32873535,-0.95695496
337,1.4041667,0.21655273,-2.2340698
