# FPS: 240.0
Frame,Time(s),DisplacementX(px),DisplacementZ(px)
0,0.0,-0.23303223,-0.45317078
1,0.004166667,0.03213501,-1.09729
2,0.008333334,0.04537964,-1.1214752
3,0.0125,0.10513306,-1.0424347
4,0.016666668,0.39691162,-0.7397766
5,0.020833334,-0.21838379,0.510849
6,0.025,-0.08508301,0.51823425
7,0.029166667,-0.13644409,1.0955658
8,0.033333335,-0.18710327,1.0646362
9,0.0375,-0.2076416,0.851593
10,0.041666668,-0.21383667,0.8556824
11,0.045833334,-0.16201782,0.36587524
12,0.05,-0.39175415,-0.534317
13,0.054166667,-0.14309692,-1.1003265
14,0.058333334,-0.12475586,-1.1221008
15,0.0625,-0.012817383,-1.0649719
16,0.06666667,0.28909302,-0.73857117
17,0.07083333,0.2645874,-0.2219696
18,0.075,0.11117554,0.49754333
19,0.079166666,0.034973145,0.9500427
20,0.083333336,0.04196167,1.107254
21,0.0875,0.0132751465,1.0734253
22,0.09166667,-0.3380127,0.23866272
23,0.09583333,-0.34231567,0.23640442
24,0.1,0.12988281,-1.0370941
25,0.104166664,0.1293335,-1.0315857
26,0.108333334,0.018157959,-1.1516876
27,0.1125,0.11807251,-1.0154724
28,0.11666667,0.3303833,-0.69088745
29,0.12083333,0.021331787,-0.26391602
30,0.125,0.24365234,0.4580078
31,0.12916666,0.033233643,0.994812
32,0.13333334,0.066223145,1.0957642
33,0.1375,0.14498901,1.0293427
34,0.14166667,-0.1328125,0.8248749
35,0.14583333,-0.17630005,0.30882263
36,0.15,-0.36782837,-0.4883728
37,0.15416667,0.10858154,-1.201889
38,0.15833333,0.08456421,-1.1420135
39,0.1625,0.13162231,-0.9913788
40,0.16666667,0.07839966,-0.3058014
41,0.17083333,0.18511963,-0.3314209
42,0.175,-0.08157349,0.4851532
43,0.17916666,-0.0748291,0.9765167
44,0.18333334,-0.05996704,1.1273041
45,0.1875,-0.131073,1.0550079
46,0.19166666,-0.21524048,0.72766113
47,0.19583334,-0.22335815,0.1578064
48,0.2,-0.26342773,-0.5227814
49,0.20416667,0.051086426,-1.0036163
50,0.20833333,0.21243286,-1.1283722
51,0.2125,0.11843872,-1.0170288
52,0.21666667,0.016601562,-0.6432953
53,0.22083333,0.06668091,0.29060364
54,0.225,0.11013794,0.3134308
55,0.22916667,-0.08224487,0.9694214
56,0.23333333,-0.039489746,1.180603
57,0.2375,-0.049713135,1.0730133
58,0.24166666,-0.18426514,0.77211
59,0.24583334,-0.24139404,0.12496948
60,0.25,-0.22039795,-0.46794128
61,0.25416666,0.0947876,-1.1020355
62,0.25833333,0.24661255,-1.1752167
63,0.2625,0.107543945,-1.0657501
64,0.26666668,0.13421631,-0.6628723
65,0.27083334,-0.113708496,-0.32688904
66,0.275,0.014678955,0.94029236
67,0.27916667,-0.0033569336,0.96229553
68,0.28333333,-0.017669678,1.036026
69,0.2875,-0.12902832,1.0739594
70,0.29166666,-0.5001526,0.088974
71,0.29583332,-0.39526367,0.01826477
72,0.3,-0.28067017,-0.42243958
73,0.30416667,-0.053894043,-1.0100403
74,0.30833334,-0.05630493,-1.1975403
