# FPS: 240.0
Frame,Time(s),DisplacementX(px),DisplacementZ(px)
0,0.0,0.14883423,3.8752136
1,0.004166667,0.1991272,3.1824799
2,0.008333334,0.20071411,1.4146118
3,0.0125,0.30422974,-0.37998962
4,0.016666668,0.118896484,-1.8870239
5,0.020833334,-0.07321167,-3.0060272
6,0.025,0.06716919,-2.9883728
7,0.029166667,-0.26293945,-2.07547
8,0.033333335,0.067108154,-2.0618134
9,0.0375,-0.092041016,-0.43675232
10,0.041666668,-0.11566162,1.645935
11,0.045833334,0.14242554,3.5290833
12,0.05,0.44381714,3.871399
13,0.054166667,0.07336426,3.192093
14,0.058333334,0.18649292,1.4730225
15,0.0625,0.23394775,-0.3745575
16,0.06666667,0.20397949,-1.9747314
17,0.07083333,0.15802002,-2.71286
18,0.075,0.031188965,-2.910492
19,0.079166666,0.09561157,-2.8054352
20,0.083333336,-0.08294678,-0.338089
21,0.0875,-0.08294678,-0.338089
22,0.09166667,0.06674194,1.7046661
23,0.09583333,-0.039489746,3.4401703
24,0.1,0.2662964,3.8551483
25,0.104166664,-0.006500244,2.989914
26,0.108333334,0.037017822,1.3082886
27,0.1125,0.14163208,-0.4630432
28,0.11666667,0.08770752,-1.9925995
29,0.12083333,0.20788574,-2.7192383
30,0.125,0.4282837,-2.8856506
31,0.12916666,-0.06185913,-2.7744598
32,0.13333334,-0.07531738,-2.0778809
33,0.1375,-0.01763916,-0.41255188
34,0.14166667,0.014709473,3.405243
35,0.14583333,0.23812866,3.4684753
36,0.15,0.29418945,3.725174
37,0.15416667,0.06542969,1.265091
38,0.15833333,0.1463623,1.2021484
39,0.1625,0.14614868,-0.6042633
40,0.16666667,0.2967224,-2.1230774
41,0.17083333,0.28790283,-2.7951813
42,0.175,0.16400146,-2.8362732
43,0.17916666,0.015014648,-2.7865753
44,0.18333334,0.038848877,-1.9545441
45,0.1875,-0.16137695,-0.20230103
46,0.19166666,-0.054107666,1.8694458
47,0.19583334,-0.08773804,3.5681
48,0.2,0.02835083,3.873291
49,0.20416667,0.11340332,1.1879425
50,0.20833333,0.054016113,1.1648712
51,0.2125,0.17007446,-2.1242218
52,0.21666667,0.22009277,-2.1627045
53,0.22083333,0.046295166,-2.960617
54,0.225,0.038513184,-2.8967743
55,0.22916667,-0.06933594,-2.7198792
56,0.23333333,-0.18673706,-1.8607941
57,0.2375,0.24304199,-0.108795166
58,0.24166666,0.16821289,1.954361
59,0.24583334,0.18295288,3.5667267
60,0.25,0.16021729,3.8295898
61,0.25416666,-0.14871216,2.9035797
62,0.25833333,0.08554077,1.0731964
63,0.2625,0.004272461,-0.6998596
64,0.26666668,0.12893677,-2.1721954
65,0.27083334,0.40176392,-2.8311615
66,0.275,-0.012939453,-2.6790771
67,0.27916667,-0.06274414,-2.6909943
68,0.28333333,-0.25802612,-1.8985748
69,0.2875,-0.15383911,-0.08274841
70,0.29166666,-0.26382446,2.01651
71,0.29583332,-0.004547119,3.6955261
72,0.3,-0.13497925,3.771225
73,0.30416667,0.10922241,2.7117462
74,0.30833334,0.0087890625,0.9983673
75,0.3125,-0.08157349,-0.8672943
76,0.31666666,0.03894043,-2.1586456
77,0.32083333,-0.0657959,-2.8877106
78,0.325,-0.06741333,-2.969513
79,0.32916668,-0.23413086,-2.6449585
80,0.33333334,-0.05557251,-0.021362305
81,0.3375,-0.08938599,-0.018051147
82,0.34166667,0.094696045,3.695984
83,0.34583333,0.10195923,3.7236938
84,0.35,0.046325684,3.7993317
85,0.35416666,-0.21063232,2.7078094
86,0.35833332,-0.17285156,0.8075409
87,0.3625,-0.12490845,-0.9367523
88,0.36666667,0.09448242,-2.2905884
89,0.37083334,-0.05178833,-2.9208374
90,0.375,-0.13406372,-2.978897
91,0.37916666,-0.3114624,-2.6148834
92,0.38333333,-0.36276245,-1.6977386
93,0.3875,-0.06097412,0.112854004
94,0.39166668,-0.40292358,2.184494
95,0.39583334,-0.28970337,3.7878113
96,0.4,-0.24349976,3.7854767
97,0.40416667,-0.072265625,0.8208771
98,0.40833333,-0.009887695,0.8140869
99,0.4125,-0.09173584,-0.7778015
100,0.41666666,0.14752197,-2.2700348
101,0.42083332,0.09555054,-2.9400024
102,0.425,0.026763916,-2.9743347
103,0.42916667,0.2071228,-2.5483856
104,0.43333334,-0.5328369,-1.5769806
105,0.4375,-0.4319458,0.1289978
106,0.44166666,-0.11154175,2.2288666
107,0.44583333,0.12963867,3.8775177
108,0.45,-0.10266113,3.8080597
109,0.45416668,0.1746521,2.5209198
110,0.45833334,0.16012573,0.668396
111,0.4625,0.20324707,-0.955307
112,0.46666667,0.34222412,-3.005371
113,0.47083333,0.2970276,-3.016388
114,0.475,0.030090332,-3.0345154
115,0.47916666,-0.45007324,-1.5457153
116,0.48333332,-0.38168335,-1.566864
117,0.4875,-0.2616577,0.35469055
118,0.49166667,-0.46392822,2.3377686
119,0.49583334,0.022583008,3.8704681
120,0.5,0.11581421,3.7967072
121,0.50416666,-0.18566895,2.4698029
122,0.5083333,0.022277832,0.52153015
123,0.5125,0.15707397,-1.1497345
124,0.51666665,0.19384766,-2.2881927
125,0.5208333,0.305542,-2.8567963
126,0.525,-0.022613525,-3.014145
127,0.52916664,-0.20217896,-2.6317902
128,0.53333336,-0.71588135,0.39300537
129,0.5375,-0.6199646,0.38000488
130,0.5416667,-0.5197754,2.3925018
131,0.54583335,-0.23477173,3.8459625
132,0.55,-0.081329346,3.8368988
133,0.5541667,-0.16119385,2.4351807
134,0.55833334,-0.07696533,-1.1525879
135,0.5625,0.01828003,-1.163971
136,0.56666666,-0.014862061,-2.343155
137,0.5708333,-0.3097229,-2.895752
138,0.575,-0.27090454,-2.9882202
139,0.57916665,-0.25265503,-2.6373901
140,0.5833333,-0.5246582,-1.3762207
141,0.5875,-0.43023682,0.47276306
142,0.59166664,-0.12527466,3.8429565
143,0.59583336,-0.04989624,3.8227234
144,0.6,0.070617676,3.7046661
145,0.6041667,0.0036621094,0.450531
146,0.60833335,0.0010986328,0.45240784
147,0.6125,0.022949219,-1.2222443
148,0.6166667,-0.013580322,-2.3384552
149,0.62083334,-0.081207275,-3.0250092
150,0.625,0.088897705,-3.0395355
151,0.62916666,-0.0178833,-2.6172638
152,0.6333333,-0.028747559,-1.3411865
153,0.6375,-0.338562,0.45895386
154,0.64166665,-0.25598145,2.4576416
