# FPS: 240.0
Frame,Time(s),DisplacementX(px),DisplacementZ(px)
0,0.0,0.16378784,-1.4478912
1,0.004166667,0.17285156,-1.444107
2,0.008333334,0.16699219,-2.2454376
3,0.0125,-0.05496216,-2.2662354
4,0.016666668,-0.2944641,-1.3759613
5,0.020833334,-0.35232544,-1.3680115
6,0.025,-0.32739258,-0.29678345
7,0.029166667,-0.5286865,1.2704468
8,0.033333335,-0.33273315,2.778534
9,0.0375,-0.38287354,3.0107727
10,0.041666668,0.090911865,2.3894196
11,0.045833334,-0.01461792,0.9862976
12,0.05,0.38983154,-0.1676178
13,0.054166667,0.40438843,-1.4750214
14,0.058333334,-0.17318726,-2.236557
15,0.0625,0.0652771,-2.3459473
16,0.06666667,-0.0012817383,-2.0853882
17,0.07083333,-0.2276001,-0.20230103
18,0.075,-0.074035645,-0.1895752
19,0.079166666,-0.490448,1.4823151
20,0.083333336,-0.31030273,2.7064362
21,0.0875,-0.3786316,3.0320435
22,0.09166667,-0.11746216,2.2681274
23,0.09583333,0.18353271,0.9242401
24,0.1,-6.1035156E-4,-0.3989563
25,0.104166664,0.09414673,-1.5744476
26,0.108333334,0.23962402,-2.275177
27,0.1125,-0.040618896,-2.3729095
28,0.11666667,-0.012237549,-2.2401123
29,0.12083333,0.32333374,-1.337616
30,0.125,-0.39041138,1.5069427
31,0.12916666,-0.24575806,1.4838257
32,0.13333334,-0.50650024,3.1017456
33,0.1375,-0.5435486,3.1424408
34,0.14166667,0.06561279,2.144577
35,0.14583333,0.4361267,0.86442566
36,0.15,0.0064086914,-0.51997375
37,0.15416667,0.34332275,-1.5349121
38,0.15833333,0.21057129,-2.2725983
39,0.1625,0.11755371,-2.2958374
40,0.16666667,0.5279236,-2.0806427
41,0.17083333,0.13378906,-1.3414459
42,0.175,0.08639526,-0.044540405
43,0.17916666,0.3040161,1.6838226
44,0.18333334,-0.35165405,3.1284485
45,0.1875,-0.100860596,3.1143188
46,0.19166666,0.20611572,0.7440033
47,0.19583334,0.33633423,0.6912079
48,0.2,0.075805664,-1.6395111
49,0.20416667,0.008239746,-1.6827393
50,0.20833333,0.33700562,-2.3201752
51,0.2125,0.40112305,-2.342453
52,0.21666667,0.23217773,-1.9964447
53,0.22083333,0.2987976,-1.228241
54,0.225,0.3735962,0.087509155
55,0.22916667,-0.094177246,1.6640625
56,0.23333333,-0.05847168,2.8156586
57,0.2375,-0.34814453,3.0432892
58,0.24166666,-0.146698,2.1685944
59,0.24583334,0.39556885,0.7756653
60,0.25,0.13510132,-0.5260315
61,0.25416666,-0.10897827,-1.6125183
62,0.25833333,0.11273193,-2.3184662
63,0.2625,0.105651855,-2.296524
64,0.26666668,0.17358398,-2.0147552
65,0.27083334,0.27142334,-1.2494049
66,0.275,-0.02520752,0.06037903
67,0.27916667,-0.19534302,1.6184998
68,0.28333333,-0.34603882,2.8560333
69,0.2875,-0.20303345,3.067154
70,0.29166666,-0.17373657,2.0597076
71,0.29583332,0.15115356,0.4922943
72,0.3,-0.35839844,-0.69226074
73,0.30416667,-0.115234375,-1.6233215
74,0.30833334,0.020019531,-2.2549438
75,0.3125,0.0031738281,-2.1218567
76,0.31666666,-0.13363647,-2.0654907
77,0.32083333,-0.3345642,-1.1723938
78,0.325,-0.29489136,-1.1724701
79,0.32916668,-0.38967896,2.794571
80,0.33333334,-0.37271118,2.8019257
81,0.3375,-0.40722656,3.045227
82,0.34166667,-0.18331909,2.1928253
83,0.34583333,0.053100586,0.592041
84,0.35,-0.2722473,-0.720047
85,0.35416666,-0.15594482,-1.7384644
86,0.35833332,-0.16497803,-2.3546295
87,0.3625,-0.17144775,-2.4391632
88,0.36666667,-0.060943604,-2.0347443
89,0.37083334,-0.07687378,-1.1680298
90,0.375,-0.029571533,0.33732605
91,0.37916666,-0.3782959,1.8823853
92,0.38333333,-0.17422485,2.9081116
93,0.3875,-0.30447388,1.9134521
94,0.39166668,-0.18981934,1.9135742
95,0.39583334,-0.28042603,-0.92230225
96,0.4,-0.27774048,-0.9368439
97,0.40416667,-0.1184082,-1.7992401
98,0.40833333,-0.30548096,-2.245453
99,0.4125,-0.4800415,-2.3411407
100,0.41666666,-0.28347778,-1.8982849
101,0.42083332,-0.58410645,0.33293152
102,0.425,-0.25442505,0.40670776
103,0.42916667,-0.3267212,1.8260498
104,0.43333334,-0.5717468,2.9085236
105,0.4375,-0.58914185,3.0062256
106,0.44166666,-0.29318237,1.9507904
107,0.44583333,-0.28912354,0.35839844
108,0.45,-0.29855347,-0.9642029
109,0.45416668,-0.19876099,-1.854599
110,0.45833334,-0.203125,-2.3025665
111,0.4625,-0.152771,-2.2937012
112,0.46666667,0.020935059,-2.0271454
113,0.47083333,0.11804199,-1.0074921
114,0.475,-0.41644287,0.46878052
115,0.47916666,-0.32476807,1.9302826
116,0.48333332,-0.118927,2.8726196
117,0.4875,-0.11380005,2.9268646
118,0.49166667,-0.05697632,1.9442291
119,0.49583334,-0.06686401,0.32624817
120,0.5,-0.28500366,-0.9790344
121,0.50416666,-0.1459961,-2.322998
122,0.5083333,-0.18566895,-2.2695923
123,0.5125,0.11798096,-2.025879
124,0.51666665,0.18029785,-1.9833984
125,0.5208333,-0.22192383,-0.9628906
126,0.525,-0.47268677,0.6128998
127,0.52916664,-0.25256348,2.1421509
128,0.53333336,-0.28860474,3.0046234
129,0.5375,0.069488525,1.9277191
130,0.5416667,0.0836792,1.9853516
131,0.54583335,0.17462158,0.22244263
132,0.55,0.30252075,-1.1221466
133,0.5541667,0.09744263,-1.9100494
134,0.55833334,0.26638794,-2.3578033
135,0.5625,0.2814331,-2.3896027
136,0.56666666,-0.16311646,-2.0606842
137,0.5708333,-0.17315674,-0.92497253
138,0.575,-0.50631714,2.097641
139,0.57916665,-0.5486145,2.1031647
140,0.5833333,-0.086883545,2.8971252
141,0.5875,-0.08554077,2.895523
142,0.59166664,-0.06637573,1.79953
143,0.59583336,-0.0030822754,0.18093872
144,0.6,0.0687561,-1.0789795
145,0.6041667,0.0552063,-1.869278
146,0.60833335,0.44244385,-2.2853851
147,0.6125,0.39663696,-2.3568268
148,0.6166667,0.18344116,-1.9784851
149,0.62083334,0.028930664,-0.88201904
150,0.625,-0.23251343,0.6890869
151,0.62916666,-0.041290283,2.1469574
152,0.6333333,-0.039520264,3.0178223
153,0.6375,0.0014648438,1.7067261
154,0.64166665,-0.038085938,1.7279816
155,0.6458333,-0.09939575,0.038757324
156,0.65,-0.01449585,-2.1662292
157,0.65416664,0.033599854,-2.146698
158,0.65833336,-0.0078125,-2.2969055
159,0.6625,0.019348145,-2.3682556
160,0.6666667,-0.17211914,-2.055893
161,0.67083335,-0.29742432,-0.82377625
162,0.675,-0.6673889,0.93304443
163,0.6791667,-0.4243164,2.4913483
164,0.68333334,-0.17077637,3.093689
165,0.6875,0.14193726,2.8611603
166,0.69166666,0.1338501,1.7829285
167,0.6958333,-0.030639648,0.13929749
168,0.7,0.30560303,-1.2504272
169,0.70416665,0.11566162,-2.3996735
170,0.7083333,0.068725586,-2.3793488
171,0.7125,0.052642822,-1.888855
172,0.71666664,-0.0043640137,-1.8876648
173,0.72083336,0.1512146,-0.80470276
174,0.725,0.039398193,0.8356018
175,0.7291667,-0.17858887,2.4267883
176,0.73333335,0.15307617,2.9966125
177,0.7375,0.1253357,2.6847076
178,0.7416667,-0.055114746,1.549469
179,0.74583334,0.30166626,0.049316406
180,0.75,0.1513977,-1.4127808
181,0.75416666,0.24874878,-2.127533
182,0.7583333,0.3315735,-2.2720947
183,0.7625,0.15270996,-2.1977386
184,0.76666665,-0.08129883,-0.6881561
185,0.7708333,-0.07229614,-0.6863556
186,0.775,-0.16192627,-0.70336914
187,0.77916664,-0.20147705,2.6000977
188,0.78333336,-0.17922974,3.1399689
189,0.7875,0.049194336,2.785736
190,0.7916667,0.011810303,1.5441589
191,0.79583335,-0.19714355,0.12075806
192,0.8,0.071746826,0.06149292
193,0.8041667,0.30456543,-1.9389191
194,0.80833334,-0.16159058,-2.32312
195,0.8125,-0.16027832,-2.3540955
196,0.81666666,-0.11264038,-1.7184753
197,0.8208333,-0.1569519,-0.58535767
198,0.825,-0.4821167,0.9753876
199,0.82916665,-0.49032593,2.4103851
200,0.8333333,-0.2168274,2.6485596
201,0.8375,-0.23022461,2.6607513
202,0.84166664,-0.17007446,1.5233765
203,0.84583336,0.2690735,-0.0121154785
204,0.85,0.4749756,-1.327591
205,0.8541667,0.0687561,-2.240631
206,0.85833335,0.02154541,-2.3754425
207,0.8625,-0.012420654,-2.3525085
208,0.8666667,0.16494751,-1.8350677
209,0.87083334,-0.14364624,-0.64886475
210,0.875,-0.21130371,1.0021973
211,0.87916666,-0.27944946,2.5741272
212,0.8833333,-0.26779175,3.1251526
213,0.8875,-0.10824585,2.5660706
214,0.89166665,0.11035156,1.3633118
215,0.8958333,0.114471436,-0.124313354
216,0.9,0.24035645,-2.2338715
217,0.90416664,0.27261353,-2.2036285
218,0.90833336,0.30166626,-2.2122498
219,0.9125,0.2255249,-2.2671967
220,0.9166667,-0.067993164,-1.7289124
221,0.92083335,-0.07241821,-0.530426
222,0.925,-0.03137207,1.1142731
223,0.9291667,-0.48239136,2.5567474
224,0.93333334,-0.10595703,3.0764465
225,0.9375,-0.26116943,2.498886
226,0.94166666,-0.08380127,1.2387695
227,0.9458333,-0.052825928,-0.30101013
228,0.95,0.0881958,-1.5115204
