# FPS: 240.0
Frame,Time(s),DisplacementX(px),DisplacementZ(px)
0,0.0,-0.17486572,-1.5122833
1,0.004166667,-0.21044922,-1.4992523
2,0.008333334,0.09698486,-2.353714
3,0.0125,0.2593994,-2.384964
4,0.016666668,-0.3587036,-1.4264221
5,0.020833334,-0.3902588,-1.4226837
6,0.025,-0.23284912,-0.29696655
7,0.029166667,-0.13165283,1.228836
8,0.033333335,-0.16125488,2.7295074
9,0.0375,0.12524414,2.9871216
10,0.041666668,-0.22137451,2.3809662
11,0.045833334,0.01586914,0.99005127
12,0.05,0.0076904297,-0.2507782
13,0.054166667,0.14526367,-1.4838562
14,0.058333334,-0.15686035,-2.2470703
15,0.0625,0.30700684,-2.3634644
16,0.06666667,0.16577148,-2.1562958
17,0.07083333,-0.2753296,-0.21533203
18,0.075,-0.2354126,-0.19615173
19,0.079166666,-0.16418457,1.3686218
20,0.083333336,-0.25390625,2.6545715
21,0.0875,-0.061157227,3.0174866
22,0.09166667,-0.18255615,2.3026733
23,0.09583333,0.18701172,0.90353394
24,0.1,0.056884766,-0.44580078
25,0.104166664,-0.044128418,-1.5174255
26,0.108333334,0.1362915,-2.2956543
27,0.1125,0.20025635,-2.3840027
28,0.11666667,-0.017333984,-2.237503
29,0.12083333,0.33093262,-1.3686981
30,0.125,-0.29058838,1.4670868
31,0.12916666,-0.1272583,1.4380035
32,0.13333334,-0.15142822,3.0790558
33,0.1375,-0.12322998,3.1057587
34,0.14166667,0.16625977,2.135498
35,0.14583333,0.2454834,0.8592529
36,0.15,0.051452637,-0.59025574
37,0.15416667,0.06011963,-1.4897614
38,0.15833333,0.2121582,-2.3692322
39,0.1625,0.022277832,-2.3513184
40,0.16666667,0.21496582,-2.1689606
41,0.17083333,-0.23815918,-1.2618408
42,0.175,-0.22607422,-0.111068726
43,0.17916666,-0.22686768,1.6061249
44,0.18333334,0.07159424,3.1643066
45,0.1875,0.12017822,3.165207
46,0.19166666,0.24261475,0.78144836
47,0.19583334,0.15911865,0.7582855
48,0.2,0.06628418,-1.5659332
49,0.20416667,0.15209961,-1.5899963
50,0.20833333,0.33361816,-2.355194
51,0.2125,0.33966064,-2.3957367
52,0.21666667,-0.008239746,-2.0583344
53,0.22083333,0.032043457,-1.1643829
54,0.225,0.0715332,0.058929443
55,0.22916667,-0.25378418,1.6225128
56,0.23333333,0.05230713,2.8245392
57,0.2375,-0.1272583,3.127884
58,0.24166666,-0.29504395,2.1669922
59,0.24583334,0.23706055,0.767334
60,0.25,0.24194336,-0.5597534
61,0.25416666,-0.22473145,-1.5944366
62,0.25833333,0.03314209,-2.4137573
63,0.2625,-0.030761719,-2.3929138
64,0.26666668,0.011169434,-2.108551
